Equipe;Nom;Poste;Type poste;Date de naissance;Taille (en cm);Poids (en kg);ID_equipe;Equipe;Compo
Castres;Yann DAVID;Centre;Trois-Quarts;15/04/1988;185;102;5;;FALSE
Castres;Armand BATLLE;Ailier;Trois-Quarts;12/04/1987;188;92;5;;FALSE
Castres;Benjamin LAPEYRE;Ailier;Trois-Quarts;24/09/1986;181;87;5;;FALSE
Castres;Filipo NAKOSI;Ailier;Trois-Quarts;08/04/1992;182;98;5;;FALSE
Castres;Julien CAMINATI;Ailier;Trois-Quarts;28/10/1985;178;88;5;;FALSE
Castres;Martin LAVEAU;Ailier;Trois-Quarts;10/09/1996;182;78;5;;FALSE
Castres;Taylor PARIS;Ailier;Trois-Quarts;06/10/1992;185;93;5;;FALSE
Castres;Geoffrey PALIS;Arrière;Arrière;08/07/1991;189;93;5;;FALSE
Castres;Julien DUMORA;Arrière;Arrière;24/03/1988;184;96;5;;FALSE
Clermont;Beqa KAKABADZE;Pilier;Avant;07/09/1995;181;110;6;;FALSE
Clermont;Davit ZIRAKASHVILI;Pilier;Avant;10/10/1983;179;120;6;;TRUE
Clermont;Duane AHOLELEI;Pilier;Avant;16/02/1989;189;130;6;;FALSE
Clermont;Etienne FALGOUX;Pilier;Avant;19/01/1993;182;112;6;;TRUE
Clermont;Giorgi BERIA;Pilier;Avant;11/11/1999;175;107;6;;FALSE
Clermont;Loni UHILA;Pilier;Avant;07/04/1989;182;125;6;;FALSE
Clermont;Rabah SLIMANI;Pilier;Avant;18/10/1989;178;113;6;;FALSE
Clermont;Sipili FALATEA;Pilier;Avant;06/06/1997;184;116;6;;FALSE
Clermont;John ULUGIA;Talonneur;Avant;17/01/1986;180;115;6;;TRUE
Clermont;Mike TADJER;Talonneur;Avant;10/03/1989;183;110;6;;FALSE
Clermont;Yohan BEHEREGARAY;Talonneur;Avant;29/05/1996;180;102;6;;FALSE
Clermont;Clément LANEN;2ème ligne;2ème ligne;01/04/1998;196;103;6;;FALSE
